tableIdx,columnIdx,columns_name,columns_name_kr,columns_type,columns_desc,timestamp,standard_yn
1644,17,nexonsn_totalplaytime_6m,nexonsn기준 누적 플레이시간(6개월),int,nexonsn기준 최근 6개월동안 모든 국내 PC게임을 접속한 누적 시간 (분),2020-11-11 05:08:50.777,N
1644,18,nexonsn_pcbang_playtime_3m,nexonsn기준 PC방 누적 플레이시간(3개월),int,nexonsn기준 최근 3개월동안 PC방에서 모든 국내 PC게임을 접속한 누적 시간 (분),2020-11-11 05:08:50.777,N
1644,19,nexonsn_pcbang_playtime_6m,nexonsn기준 PC방 누적 플레이시간(6개월),int,nexonsn기준 최근 6개월동안 PC방에서 모든 국내 PC게임을 접속한 누적 시간 (분),2020-11-11 05:08:50.777,N
1644,20,nexonsn_nopcbang_playtime_3m,nexonsn기준 비PC방 누적 플레이시간(3개월),int,nexonsn기준 최근 3개월동안 PC방에서 모든 국내 PC게임을 접속한 누적 시간 (분),2020-11-11 05:08:50.777,N
1785,2,accountno,게임 계정,string,"*미사용, 게임에서 발행된 계정 ID",2021-03-25 06:51:02.197,N
1785,3,nexonsn,NexonSN,long,"*미사용, 넥슨 계정 식별자",2021-03-25 06:51:02.197,N
1785,4,npsn,NPSN,long,TOY에서 발급한 모바일 플랫폼 계정 식별자,2021-03-25 06:51:02.197,N
1436,7,serviceid,서비스아이디,long,"게임별로 고정된 서비스 ID(인텔리전스 랩스에서 발급 진행), PC회원(nexonsn) 기준 집계여서 -1로 입력",2020-05-05 07:54:29.247,N
1436,8,worldid,게임 서버 정보,string,"characterid로 캐릭터를 찾기 위한 보조 식별자, PC회원(nexonsn) 기준 집계여서 !notapplicable@로 입력",2020-05-05 07:54:29.247,N
1388,5,serviceareaid,게임계정 구분자,string,"accountno로 이용자를 찾기 위한 보조 식별자, PC회원(nexonsn) 기준 집계여서 !notapplicable@로 입력",2019-12-24 08:19:18.557,N
